日期,模型收益,Baseline收益,超额收益,模型选股
2025-01-02,0.013767062704628841,-0.01719178482530659,0.03095884752993543,"600160,002648,688036,605499,002050"
2025-01-03,0.0030835172926352294,-0.026062240261439683,0.029145757554074912,"600845,603501,000938,002648,000786"
2025-01-06,-0.01855930351048689,-0.03766082502482206,0.01910152151433517,"600845,600066,688169,600160,000938"
2025-01-07,-0.0050061194430130575,-0.03408646873071779,0.02908034928770473,"600845,002463,000977,000938,600584"
2025-01-08,0.02468479305848963,-0.011334883654477924,0.036019676712967554,"600845,688008,000938,600066,600584"
2025-01-09,0.03371918390096416,0.008924168051531733,0.024795015849432424,"300866,600584,603893,000938,688008"
2025-01-10,0.006480185075124356,0.021065565183160252,-0.014585380108035896,"002241,300476,000338,002050,603893"
2025-01-13,0.05793094641290999,0.025643209744333186,0.0322877366685768,"603986,002050,000807,605499,688981"
2025-01-14,5.359326164968703e-05,0.0029687627403591765,-0.0029151694787094896,"002050,603986,001391,000338,300442"
2025-01-15,0.04070699991254319,-0.008059571051243131,0.04876657096378632,"603986,300433,688981,000938,002241"
2025-01-16,0.09112843282667597,-0.008700548307949574,0.09982898113462554,"002241,002050,000938,300442,603986"
2025-01-17,-0.00422181008704745,0.0040311516374286205,-0.00825296172447607,"603986,300442,002050,688981,000938"
2025-01-20,0.07983064761681033,0.006625200381504537,0.0732054472353058,"300442,000938,300433,002050,603893"
2025-01-21,0.04595092967435357,0.023767387446885245,0.022183542227468322,"300433,300442,688008,000938,603893"
2025-01-22,-0.004683990617742761,0.010238655893356086,-0.014922646511098848,"300442,688008,000063,603893,603986"
2025-01-23,-0.022879832060688488,-0.005203668117497196,-0.01767616394319129,"688008,000938,600183,300394,002241"
2025-01-24,-0.00538912728089771,-0.002201351609642943,-0.003187775671254767,"002384,300442,002050,002241,300476"
2025-01-27,0.03583912957839781,-0.011475994408534463,0.04731512398693227,"300442,603893,002241,600183,601138"
2025-02-05,0.008949430588635088,0.00250985840415876,0.006439572184476328,"601689,300442,002050,603893,300866"
2025-02-06,-0.027023212803372297,0.00020353719277663718,-0.027226749996148936,"300442,002241,601689,301236,603893"
2025-02-07,-0.004322380342658172,0.0007714069834759751,-0.005093787326134146,"300442,603893,300124,000977,600588"
2025-02-10,-0.020608133472232983,-0.0008823077585738748,-0.019725825713659106,"603893,300124,300033,300442,688111"
2025-02-11,0.056216575341250616,0.010015930877633018,0.0462006444636176,"300124,300251,688111,603893,000977"
2025-02-12,-0.034525557991892365,0.00942881879992825,-0.04395437679182061,"300433,688111,300033,600570,000977"
2025-02-13,-0.003251794554588572,0.010138268050683474,-0.013390062605272045,"601728,600588,300251,300418,000938"
2025-02-14,-0.05792552226088987,0.0037206379311642613,-0.061646160192054135,"601728,000977,300251,600588,002600"
2025-02-17,0.06383800393514819,-0.015095808041458714,0.0789338119766069,"601728,600050,000977,603501,002600"
2025-02-18,-0.0010352700479119292,-0.003109864536284346,0.0020745944883724166,"302132,603501,601728,600050,600183"
2025-02-19,0.006860081741360369,-0.017152839481304437,0.024012921222664806,"302132,600183,000977,600050,002600"
2025-02-20,-0.024765710434320187,-0.0027472045911510756,-0.02201850584316911,"601059,002916,302132,601100,603501"
2025-02-21,-0.07893411509845391,0.00815838512129392,-0.08709250021974783,"600845,600570,600183,002916,601100"
2025-02-24,-0.05342110309737604,-0.0016359073717030492,-0.05178519572567299,"300124,600050,600845,603986,000063"
2025-02-25,-0.07806590882644149,4.272993809948389e-05,-0.07810863876454097,"300124,688041,300442,600050,688008"
2025-02-26,-0.08182697770771181,-0.005255866368556061,-0.07657111133915576,"300124,300442,002600,688041,688256"
2025-02-27,-0.0309534690737163,0.0016813336694961433,-0.03263480274321245,"688256,688041,603501,688008,300124"
2025-02-28,0.005983884770040748,-0.00506591932878051,0.011049804098821258,"688506,601881,601136,688008,601995"
2025-03-03,-0.004148804789051041,-0.0031965654944558384,-0.000952239294595203,"601881,601136,002460,002466,002709"
2025-03-04,-0.016343982086149976,-0.01574945829295058,-0.0005945237931993946,"688981,002466,688008,002460,601059"
2025-03-05,0.009584680276356995,-0.017787704468728193,0.027372384745085188,"688981,601881,300759,601100,601995"
2025-03-06,-0.018902746625634646,-0.006986691931335565,-0.011916054694299082,"688981,601100,601995,601360,300418"
2025-03-07,0.006129742783747449,0.005384536823233166,0.0007452059605142832,"603019,300476,688981,300033,002230"
2025-03-10,0.07249232226009714,0.032256947647851364,0.04023537461224577,"300476,603019,002230,301236,601995"
2025-03-11,0.050045376247724274,0.033194967398894534,0.01685040884882974,"300476,688981,002236,601100,688126"
2025-03-12,0.0684938184355501,0.023442738159833575,0.04505108027571652,"603019,300476,000977,600570,002236"
2025-03-13,0.03474324203931056,0.01896871254517731,0.01577452949413325,"300476,601881,603019,601136,600010"
2025-03-14,-0.031068139924389348,0.0016235547030359232,-0.03269169462742527,"300476,000977,301236,600570,688981"
2025-03-17,-0.06871020020764276,-0.0030883128616754573,-0.0656218873459673,"301236,300476,002236,000977,300251"
2025-03-18,-0.06598218083864682,-0.001118154743075994,-0.06486402609557082,"000977,300476,000938,301236,002236"
2025-03-19,-0.06826182493058146,0.007108593346902415,-0.07537041827748388,"002236,300476,301236,603893,000938"
2025-03-20,-0.05860536702311812,0.004389405933787072,-0.06299477295690518,"300476,301236,000977,002236,600570"
2025-03-21,-0.04709312863127628,-0.0018896138802187768,-0.0452035147510575,"600522,000977,300476,603019,002236"
2025-03-24,-0.022981694528486196,-0.006037397808858658,-0.01694429671962754,"000977,600522,688187,300274,002236"
2025-03-25,-0.009180290338800235,-0.022824471717872587,0.013644181379072352,"600522,300274,000938,300251,000977"
2025-03-26,-0.026325910063886203,-0.016303105120108373,-0.01002280494377783,"300274,600522,300251,688187,605117"
2025-03-27,-0.019930807247721605,-0.016023475373865215,-0.00390733187385639,"600415,600522,002236,601899,300251"
2025-03-28,-0.07650260710708093,-0.0219082768716228,-0.05459433023545813,"600522,688187,000938,300251,000630"
2025-03-31,-0.14754468803922335,-0.04843272598404831,-0.09911196205517504,"600522,000938,300308,300251,688187"
2025-04-01,-0.14460651758958465,-0.02140874325576545,-0.1231977743338192,"000963,600276,603259,600415,002422"
2025-04-02,-0.057916523564613256,0.005673491123046071,-0.06359001468765933,"688506,002422,600415,000963,601298"
2025-04-03,0.009510965594253263,0.00954994977392678,-3.898417967351797e-05,"688506,002422,605499,000963,302132"
2025-04-07,0.004824165416440596,0.040341436216503414,-0.03551727080006282,"605499,600161,601229,600039,600600"
2025-04-08,-0.02856242736154404,0.013537895319300918,-0.04210032268084496,"600039,000876,300498,002714,600111"
2025-04-09,-0.025143351003027448,-0.010242832725264961,-0.014900518277762486,"601816,002179,600809,600900,600111"
2025-04-10,0.014304065690049916,0.008670108642310081,0.005633957047739835,"600547,000617,002027,301269,600489"
2025-04-11,-0.025059776107849152,0.01586433363048585,-0.040924109738335004,"002179,301269,600489,601888,600111"
2025-04-14,0.003279347121463361,0.008756114331466124,-0.005476767210002764,"600489,000617,600547,001391,000975"
2025-04-15,0.01165518400612906,0.009203770466343464,0.002451413539785596,"000975,300661,688506,600489,605499"
2025-04-16,-0.01485428248041185,0.008494026140435328,-0.023348308620847177,"600547,000975,600415,600489,300661"
2025-04-17,-0.0009911426802461597,-0.002006134358934153,0.0010149916786879932,"600547,605499,688506,300661,000975"
2025-04-18,-0.020098587096244392,0.008272819726484327,-0.02837140682272872,"600547,300661,000975,300476,688506"
2025-04-21,-0.06622084607471879,0.010693412607547215,-0.076914258682266,"300476,601899,600489,000975,600415"
2025-04-22,-0.04895226459826463,-0.010102944910120693,-0.03884931968814394,"000617,000975,600415,605499,601899"
2025-04-23,-0.029835291378959815,-0.012151945566095468,-0.01768334581286435,"000617,600415,688506,605499,600547"
2025-04-24,-0.01984163521136486,-0.027157138539125512,0.007315503327760653,"600415,605499,600547,000617,688506"
2025-04-25,0.018430314464361407,-0.017520940175460374,0.03595125463982178,"600039,600415,300476,600547,000617"
2025-04-28,0.0417328877001947,-0.007571092922210809,0.049303980622405506,"600415,600547,688256,688506,302132"
2025-04-29,-0.01304705310207801,0.005856307006370964,-0.018903360108448973,"605499,688506,600415,600547,688256"
2025-04-30,-0.03741144799949496,0.01516447756302024,-0.0525759255625152,"002422,300124,603893,688506,605499"
2025-05-06,-0.03699516388855821,0.01346058228748046,-0.05045574617603867,"002422,600547,300476,603501,603986"
2025-05-07,0.02463910760780308,0.02199789813301134,0.002641209474791739,"603986,302132,603893,688506,688256"
2025-05-08,0.02832805178142439,0.03025048628724525,-0.001922434505820858,"300476,601077,302132,600760,300502"
2025-05-09,0.023255926831684537,0.03142353340842803,-0.008167606576743494,"300502,600415,302132,300476,605499"
2025-05-12,-0.019692179296546077,0.010420298774928404,-0.03011247807147448,"300502,302132,600760,300476,600415"
2025-05-13,-0.033856591753281304,0.02558574280330548,-0.05944233455658678,"300502,300476,302132,600760,300308"
2025-05-14,-0.035511669949365984,0.0007639558519728417,-0.03627562580133883,"300502,300476,302132,600415,300803"
2025-05-15,0.002923740637747052,-0.0012490843805676333,0.0041728250183146855,"300502,600415,302132,600276,601319"
2025-05-16,0.025837523190089983,0.00858355557351902,0.017253967616570963,"300502,600415,002594,601077,600276"
2025-05-19,0.0005870425084687714,-0.02686922242484131,0.02745626493331008,"300502,600415,300866,302132,601319"
2025-05-20,-0.00502745786755412,-0.01561021336379087,0.01058275549623675,"300476,300866,300502,600415,002422"
2025-05-21,-0.017897749403311746,-0.01975194948520744,0.0018542000818956954,"002074,300502,300476,002422,002384"
2025-05-22,0.0059848375419907065,-0.01879805516979962,0.024782892711790325,"300502,002074,002422,688169,605499"
2025-05-23,-0.021718697356168336,-0.0025057597069237936,-0.019212937649244543,"002422,688169,300866,300502,002074"
2025-05-26,0.00773311913524175,-0.002384693437862606,0.010117812573104356,"300476,002074,300418,300502,600415"
2025-05-27,0.016206560555059778,0.006145989449240186,0.010060571105819592,"300476,002074,300418,605499,002311"
2025-05-28,0.05459100724775108,0.009242752482058348,0.045348254765692736,"300476,300502,002074,605499,300394"
2025-05-29,0.07278603044677841,0.0034555338133544387,0.06933049663342397,"300502,300394,300476,605499,002920"
2025-05-30,0.07747673341672508,0.0055610548341274765,0.0719156785825976,"300502,300476,605499,000963,601319"
2025-06-03,0.05921961330104253,0.0003426258647277303,0.058876987436314795,"300502,300476,601077,605499,601319"
2025-06-04,0.06401680927400646,0.006377090195471969,0.0576397190785345,"300502,300476,002422,605499,002384"
2025-06-05,0.053120302497121984,0.01153623355707083,0.04158406894005115,"300502,300308,300394,300476,002463"
2025-06-06,0.04632684641913929,0.006431865342195797,0.039894981076943496,"300502,300476,300394,605499,300308"
2025-06-09,0.03771951972671139,0.003033215087892094,0.0346863046388193,"300502,300476,300394,300308,002384"
2025-06-10,0.06278540234911249,-0.004563122691424559,0.06734852504053705,"300502,300476,300866,300394,300308"
2025-06-11,0.058303336725079126,-0.0013215510269014795,0.059624887751980604,"300502,300476,300866,300394,300308"
2025-06-12,0.10653176959089414,-0.0013079776872966908,0.10783974727819083,"300476,300502,300308,300394,002463"
2025-06-13,0.07281106111341247,-0.00806221125092772,0.08087327236434019,"300476,300502,300308,300394,600760"
2025-06-16,0.014119373436531846,-0.0014853472814024826,0.015604720717934329,"300476,300394,300502,300308,002463"
2025-06-17,0.03492448628068108,8.848967782109085e-05,0.03483599660285999,"300476,300502,300394,300308,002384"
2025-06-18,-0.00384744117319189,0.011935717785431765,-0.015783158958623655,"300502,300308,300476,300394,002384"
2025-06-19,0.02532362676892832,0.024964305559676304,0.0003593212092520143,"300476,300502,300394,300308,600415"
2025-06-20,0.03962389625039577,0.01944877473671571,0.02017512151368006,"300476,300502,300308,300394,002463"
2025-06-23,0.09264711851057457,0.0038229731706042936,0.08882414533997028,"300476,300308,300502,002384,600415"
2025-06-24,0.09796263728728079,-0.0037441216528005137,0.1017067589400813,"300476,300308,300502,600415,600570"
2025-06-25,0.03333389286460875,-0.002911533495275642,0.03624542635988439,"300476,300502,600570,600415,300308"
2025-06-26,0.04643872249261758,0.003633539238986061,0.04280518325363152,"300502,300476,600415,300308,002384"
2025-06-27,0.07014376680200116,0.019274005323177423,0.05086976147882373,"300476,300502,300308,002384,300394"
2025-06-30,-0.004078030273285083,0.03165336397749021,-0.035731394250775296,"300476,300502,600570,300308,300394"
2025-07-01,-0.007610209971021376,0.03415460476093237,-0.041764814731953745,"000807,002600,300433,600893,601899"
2025-07-02,0.012172507158875346,0.02451003087306891,-0.012337523714193565,"600362,600893,601899,002459,300803"
2025-07-03,0.002644638683118794,0.01712140138784286,-0.014476762704724066,"600438,002916,300433,002648,600362"
2025-07-04,0.041190257340048976,0.009453226318128482,0.03173703102192049,"300433,600362,600438,002459,000661"
2025-07-07,0.04442037922190698,-0.004877722375450855,0.049298101597357834,"300433,002074,000617,688041,000661"
2025-07-08,-0.01383295637599018,0.0035379034846764633,-0.017370859860666645,"002600,688041,603260,688223,002074"
2025-07-09,-0.013350555282397569,-0.0027425364290546207,-0.010608018853342949,"002600,603260,000617,600276,688303"
2025-07-10,0.00560380567038179,-0.010704974945157297,0.016308780615539087,"600276,300433,300394,600570,603260"
2025-07-11,-0.03332495433681506,-0.0030540202647491464,-0.03027093407206591,"300033,600010,605117,002074,600111"
2025-07-14,0.021121379993139743,0.0020849797550088534,0.01903640023813089,"300033,600010,600111,601456,603260"
2025-07-15,0.013757657630538512,0.014142502947667012,-0.0003848453171285005,"002028,300033,002466,600010,600588"
2025-07-16,0.007844663176576505,0.05619045789469519,-0.04834579471811869,"002600,300442,601689,002028,600010"
2025-07-17,0.006338906526868193,0.023483178779501946,-0.017144272252633753,"300442,601689,300418,600010,601456"
2025-07-18,0.04887280183315612,0.009822363154015657,0.039050438679140466,"002460,002600,601689,002466,601456"
2025-07-21,0.06975611439935796,-0.01018479981634961,0.07994091421570756,"000983,688111,600958,301236,002466"
2025-07-22,0.0056087101952353,-0.049889028716721386,0.05549773891195669,"302132,000786,301236,601360,002466"
2025-07-23,0.032741705489522085,-0.023842589358544865,0.05658429484806695,"302132,601600,688012,601360,002460"
2025-07-24,-0.030614141715887257,-0.021947345582863553,-0.008666796133023704,"601225,603260,601898,002460,300033"
2025-07-25,-0.02798864755384427,-0.01963007448243499,-0.008358573071409282,"601225,300033,600089,600188,603260"
2025-07-28,-0.0030713280985128267,-0.017135268736162244,0.014063940637649418,"300347,300122,600089,688169,601100"
2025-07-29,-0.031162229049406243,-0.009498728270013256,-0.021663500779392986,"600930,000425,300122,600515,000630"
2025-07-30,-0.003462145753357948,-0.004357617094208876,0.0008954713408509283,"600930,300347,601898,002460,300251"
2025-07-31,-0.023842238380564918,0.00882129075244098,-0.032663529133005895,"603986,002916,600196,600588,300347"
2025-08-01,0.0016308387871552198,0.011756613351511147,-0.010125774564355927,"300274,603986,600930,300033,300476"
2025-08-04,-0.022263078611195475,0.016832485069187487,-0.03909556368038296,"300661,601898,300251,300418,600276"
2025-08-05,-0.009246111939338619,0.0010924814212689648,-0.010338593360607584,"600570,601360,600276,603986,300661"
2025-08-06,-0.00586416590870944,0.002726960629941111,-0.008591126538650552,"000768,601059,600150,688008,000630"
2025-08-07,0.014985517098414891,-0.0052438574935454564,0.020229374591960347,"601059,000630,601225,002736,302132"
2025-08-08,0.010497271456391632,-0.022041685178084292,0.032538956634475924,"601059,000425,000630,002600,600460"
2025-08-11,0.0004335585859625457,-0.01627007282860713,0.016703631414569677,"002648,600426,000425,002460,002466"
2025-08-12,-0.0004992015918633408,-0.01776829206137509,0.01726909046951175,"300433,000425,000792,002460,002466"
2025-08-13,0.047695492510439516,-0.015623234166857958,0.06331872667729747,"603893,002938,002463,300803,000977"
2025-08-14,0.1343754769224958,-0.0029794478101046852,0.13735492473260047,"300803,603893,002463,688041,000977"
2025-08-15,0.051673350560623124,0.007279121543837874,0.04439422901678525,"601236,002050,300442,603296,603893"
2025-08-18,0.0664186268146604,0.008173788396666559,0.05824483841799384,"601236,688472,002050,300442,603296"
2025-08-19,0.05811680157544088,0.02329030937858807,0.03482649219685281,"601236,002074,300442,601689,603296"
2025-08-20,0.02356703367955517,0.01598424488468435,0.0075827887948708185,"002074,002459,600570,603296,301269"
2025-08-21,0.007034668747783623,-0.011983025724315043,0.019017694472098667,"600570,600660,301269,000938,300059"
2025-08-22,-0.001195819931246378,-0.009666234113311934,0.008470414182065556,"002714,302132,601059,301236,600309"
2025-08-25,0.013130261322143144,-0.026828195009276624,0.03995845633141977,"002714,600346,302132,601059,600010"
2025-08-26,0.012783870852326485,-0.03253543768889071,0.04531930854121719,"688472,301236,688012,002714,600346"
2025-08-27,0.061305644221637534,-0.004610186651469728,0.06591583087310726,"002074,300896,688012,688111,688303"
2025-08-28,-0.06087630587116806,-0.01803027283350971,-0.042846033037658354,"688012,688111,688303,601698,688047"
2025-08-29,-0.08155200596443904,-0.012954986024352123,-0.06859701994008692,"688036,302132,601059,688303,601698"
2025-09-01,-0.002147449186487327,-0.007936791471141768,0.005789342284654442,"600760,688036,300750,600150,600741"
2025-09-02,-0.03858003429004033,-0.012889794368619256,-0.025690239921421075,"600760,601059,000661,300759,601698"
2025-09-03,0.05128081837456344,-0.0010060609721043612,0.0522868793466678,"600438,000568,000661,002460,300759"
2025-09-04,0.01895942137179225,-0.0015453672832222098,0.02050478865501446,"601288,002460,600150,603259,002028"
2025-09-05,-0.013728507191722273,0.00711414989267114,-0.020842657084393413,"002459,002460,002466,300750,300759"
2025-09-08,-0.03324065306985511,0.003177119675614004,-0.03641777274546911,"002648,600150,603260,000792,002466"
2025-09-09,0.03858251338892325,-0.0008231630775543009,0.039405676466477545,"603260,002466,300413,600026,600089"
2025-09-10,0.040637698930255706,0.0008791160986812762,0.03975858283157443,"601336,300413,600026,300316,688036"
2025-09-11,0.017131258018847007,0.00011840840457908453,0.01701284961426792,"300316,600089,002475,300124,688036"
2025-09-12,-0.00016225538612648637,-0.01769842018948471,0.017536164803358224,"000630,000807,600570,002475,603019"
2025-09-15,-0.03224722310429411,-0.011696216518937241,-0.020551006585356864,"000807,002714,601998,300661,603019"
2025-09-16,0.01142588135871574,-0.017319147211505424,0.028745028570221164,"000983,002466,300661,601136,688047"
2025-09-17,-0.012079226723705982,-0.016818172285237944,0.004738945561531961,"300408,300661,000975,000807,002920"
2025-09-18,-0.001547006084830338,-0.0017405763784443585,0.00019357029361402058,"002466,002714,000983,000661,000977"
2025-09-19,0.0075959256387748255,-0.016570626699030422,0.024166552337805246,"000425,002714,300308,601899,600031"
2025-09-22,0.01627639966825547,-0.00954426085617337,0.02582066052442884,"000425,688126,002236,300408,300661"
2025-09-23,0.046952682643867136,-0.014354317380527237,0.061307000024394376,"000425,600489,002236,301269,600522"
2025-09-24,0.06176846076938214,-0.01039876362401133,0.07216722439339347,"300308,300502,300251,000630,600219"
2025-09-25,0.07296471864145918,0.015524547809628397,0.05744017083183078,"600176,603993,300661,301269,600584"
2025-09-26,0.009900951715725536,0.015197086800248139,-0.005296135084522603,"600584,000425,603993,300759,002230"
2025-09-29,0.1220618142808437,0.021986115837598418,0.10007569844324528,"000617,000776,603993,002466,600362"
2025-09-30,-0.0051137443433557864,0.03438810807027366,-0.03950185241362945,"603993,600893,601066,601618,600362"
